Question | Wrong Answer | Expected Answer | Option ID
What were my total sales YTD? | Total sales this current Year to Date. | Total sales YTD. | 1
What were my total YTD sales? | Total sales this current Year to Date. | Total sales YTD. | 1
What are the total YTD sales? | Total sales this current Year to Date. | Total sales YTD. | 1
What are the total sales YTD? | Total sales this current Year to Date. | Total sales YTD. | 1
What is the total sale amount YTD? | Total sales this current Period to Date. | Total sales YTD. | 1
What were my total sales in FLORAL Last Complete Year? | Total sales Last Complete Year. | Total sales in FLORAL Last Complete Year. | 2
What are the total sales in FLORAL Last Complete Year? | Total sales Last Complete Year. | Total sales in FLORAL Last Complete Year. | 2
What were my total FLORAL sales Last Complete Year? | Total sales excluding FLORAL Last Complete Year. | Total sales in FLORAL Last Complete Year. | 2
What are the total FLORAL sales Last Complete Year? | Total sales Last Complete Year. | Total sales in FLORAL Last Complete Year. | 2
What were my total sales in SEAFOOD Last Complete Year? | Total sales excluding SEAFOOD YTD. | Total sales in SEAFOOD Last Complete Year. | 2
What are the total sales in SEAFOOD Last Complete Year? | Total sales excluding SEAFOOD YTD. | Total sales in SEAFOOD Last Complete Year. | 2
What were my total SEAFOOD sales Last Complete Year? | Total sales excluding SEAFOOD Last Complete Year. | Total sales in SEAFOOD Last Complete Year. | 2
What are the total SEAFOOD sales Last Complete Year? | Total sales excluding SEAFOOD Last Complete Year. | Total sales in SEAFOOD Last Complete Year. | 2
What were my total sales in GM Last Complete Year? | Total sales excluding GM Last Complete Year. | Total sales in GM Last Complete Year. | 2
What are the total sales in GM Last Complete Year? | Total sales excluding GM Last Complete Year. | Total sales in GM Last Complete Year. | 2
What were my total GM sales Last Complete Year? | Total sales excluding GM Last Complete Year. | Total sales in GM Last Complete Year. | 2
What are the total GM sales Last Complete Year? | Total sales excluding GM Last Complete Year. | Total sales in GM Last Complete Year. | 2
What were my total sales in PRODUCE Last Complete Year? | Total sales Last Complete Year. | Total sales in PRODUCE Last Complete Year. | 2
What are the total sales in PRODUCE Last Complete Year? | Total sales Last Complete Year. | Total sales in PRODUCE Last Complete Year. | 2
What were my total PRODUCE sales Last Complete Year? | Total sales Last Complete Year. | Total sales in PRODUCE Last Complete Year. | 2
What are the total PRODUCE sales Last Complete Year? | Total sales Last Complete Year. | Total sales in PRODUCE Last Complete Year. | 2
What were my total sales in DELI Last Complete Year? | Total sales in store Delhi Last Complete Year. | Total sales in DELI Last Complete Year. | 2
What are the total sales in DELI Last Complete Year? | Total sales in the DELI department Last Complete Year. | Total sales in DELI Last Complete Year. | 2
What were my total DELI sales Last Complete Year? | Total sales in the DELI department Last Complete Year. | Total sales in DELI Last Complete Year. | 2
What are the total DELI sales Last Complete Year? | Total sales in the DELI department Last Complete Year. | Total sales in DELI Last Complete Year. | 2
What were my total sales in BAKERY Last Complete Year? | Total sales Last Complete Year. | Total sales in BAKERY Last Complete Year. | 2
What are the total sales in BAKERY Last Complete Year? | Total sales Last Complete Year. | Total sales in BAKERY Last Complete Year. | 2
What were my total BAKERY sales Last Complete Year? | Total sales excluding BAKERY Last Complete Year. | Total sales in BAKERY Last Complete Year. | 2
What are the total BAKERY sales Last Complete Year? | Total sales excluding BAKERY Last Complete Year. | Total sales in BAKERY Last Complete Year. | 2
What were my total sales in MEAT Last Complete Year? | Total sales excluding MEAT Last Complete Year. | Total sales in MEAT Last Complete Year. | 2
What are the total sales in MEAT Last Complete Year? | Total sales excluding MEAT Last Complete Year. | Total sales in MEAT Last Complete Year. | 2
What were my total MEAT sales Last Complete Year? | Total sales excluding MEAT Last Complete Year. | Total sales in MEAT Last Complete Year. | 2
What are the total MEAT sales Last Complete Year? | Total sales excluding MEAT Last Complete Year. | Total sales in MEAT Last Complete Year. | 2
What were my total sales in GROCERY Last Complete Year? | Total sales Last Complete Year. | Total sales in GROCERY Last Complete Year. | 2
What are the total sales in GROCERY Last Complete Year? | Total sales Last Complete Year. | Total sales in GROCERY Last Complete Year. | 2
What were my total GROCERY sales Last Complete Year? | Total sales Last Complete Year. | Total sales in GROCERY Last Complete Year. | 2
What are the total GROCERY sales Last Complete Year? | Total sales Last Complete Year. | Total sales in GROCERY Last Complete Year. | 2
What were my total sales in PHARMACY Last Complete Year? | Total sales excluding PHARMACY Last Complete Year. | Total sales in PHARMACY Last Complete Year. | 2
